"id","country","gender","responseRate","status","tags","positiv_reviews","suitable_for_children","pets_allowed","smoking_allowed"
26825,"Sri Lanka","other",-1,"maybe","",0,"False","False","False"
26834,"Swaziland","female",-1,"yes","",0,"False","False","False"
26848,"Sweden","female",-1,"yes","",0,"False","False","False"
26850,"Syrian Arab Republic","male",-1,"maybe","",0,"False","False","False"
26851,"Taiwan","other",-1,"yes","",0,"False","False","False"
26852,"Tajikistan","male",-1,"yes","",0,"False","False","False"
26854,"Timor-Leste (East Timor)","male",-1,"maybe","",0,"False","False","False"
26864,"Trinidad and Tobago","female",-1,"yes","",0,"False","False","False"
26866,"Turkey","male",-1,"maybe","",0,"False","False","False"
26868,"Turks and Caicos Islands","male",-1,"yes","",0,"False","False","False"
26880,"United Arab Emirates","male",-1,"yes","",0,"False","False","False"
26882,"United States","female",-1,"maybe","",0,"False","False","False"
26884,"Uruguay","female",-1,"maybe","",0,"False","False","False"
26897,"Vatican City State","other",-1,"yes","",0,"False","False","False"
26900,"Wales","female",-1,"yes","",0,"False","False","False"
26901,"Western Sahara","male",-1,"yes","",0,"True","False","False"
26902,"Yemen","female",-1,"maybe","   Reliable    Friendly    Fun    Thoughtful    Flexible    Knowledgeable    Respectful",3,"True","False","False"
26905,"Andorra","male",-1,"maybe","",0,"False","False","False"
26912,"Argentina","other",-1,"maybe","",0,"False","False","False"
26913,"Armenia","male",-1,"yes","",0,"False","False","False"
26946,"Azerbaijan","male",-1,"yes","",0,"False","False","False"
26949,"Bangladesh","male",-1,"maybe","",0,"False","False","False"
26960,"Belarus","female",-1,"yes","",0,"False","False","False"
26976,"Belgium","female",-1,"yes","",0,"False","False","False"
26977,"Benin","female",-1,"yes","",0,"False","False","False"
26978,"Bhutan","male",-1,"yes","",0,"False","False","False"
26980,"Botswana","female",-1,"yes","",0,"False","False","False"
26992,"Cameroon","male",-1,"yes","",0,"False","False","False"
26993,"Canada","male",-1,"yes","",0,"False","False","False"
26996,"Chad","female",-1,"yes","",0,"False","False","False"
26997,"Chile","male",-1,"yes","",0,"False","False","False"
26998,"China","female",-1,"maybe","",0,"False","False","False"
26999,"Colombia","female",-1,"yes","",0,"False","False","False"
